Season,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PA.1,AVG.1,IFH,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Spd,wRC+,wSB,UBR,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,XBR
2020,CHC,908,1918,2214,422,258,82,8,74,265,248,229,9,568,52,13,1,42,24,10,0.220020855,2214,0.220020855,48,5,0.1034327,0.256549232,0.403169014,0.317811934,0.386861313,0.704673247,0.166840458,0.269976726,1.341935483,0.196309963,0.460516605,0.343173431,0.107526881,0.159139784,0.076923076,0.555555555,0.308557996,-20.74105172,257.0325983,4.318357799,91.91578693,-1.228380625,6.999999963,-1.100000039,0.42302053,0.36217009,0.21480938,0.16055718,0.49340176,0.34604106,6.364054383
2020,HOU,860,1992,2229,478,294,103,12,69,279,268,192,5,440,23,13,6,39,22,11,0.239959839,2229,0.239959839,33,1,0.086137281,0.197397936,0.436363636,0.312162162,0.407630522,0.719792684,0.167670683,0.273395721,1.083617747,0.215295629,0.408097686,0.376606683,0.112627986,0.11774744,0.051968503,0.066666666,0.31136597,-15.93202638,263.723559,4.548158558,96.62881822,-1.980461668,-0.199999906,1.600000016,0.44140127,0.34012739,0.21847134,0.15286624,0.5133758,0.33375796,3.936604004
2020,SEA,843,1929,2181,435,282,88,5,60,254,244,207,5,545,30,12,3,35,50,16,0.225505443,2181,0.225505443,38,2,0.094910591,0.249885373,0.379816513,0.308539944,0.369621565,0.678161509,0.144116122,0.280688622,1.205179282,0.203597122,0.435251798,0.361151079,0.097609561,0.119521912,0.062809917,0.222222222,0.297918148,-40.3364579,233.2969345,4.600554689,91.64567987,1.414753678,5.299999952,0.300000012,0.38170122,0.37312366,0.24517513,0.17583989,0.50964975,0.31451036,3.932499231
2020,PHI,875,1948,2223,500,318,90,10,82,306,289,229,16,480,28,10,8,40,35,8,0.256673511,2223,0.256673511,58,9,0.103013945,0.215924426,0.477083333,0.341760722,0.439425051,0.781185773,0.18275154,0.299426934,1.073741007,0.209190672,0.40946502,0.381344307,0.098920863,0.147482014,0.097152428,0.321428571,0.336145756,30.92355071,309.8263619,4.884992887,108.3280674,1.748786694,-0.099999942,1.699999966,0.39905787,0.34925976,0.25168237,0.17631225,0.49461642,0.32907133,3.770697641
2020,COL,888,2057,2257,528,365,84,16,63,275,264,161,12,543,10,19,7,41,42,9,0.256684491,2257,0.256684491,48,9,0.071333628,0.240584847,0.29650092,0.311081441,0.404958677,0.716040118,0.148274186,0.31632653,1.13893967,0.227212681,0.411492734,0.361294583,0.106032906,0.115173674,0.077046548,0.346153846,0.307447071,-23.54410963,259.6244216,5.548913794,75.83711778,2.825272935,7.499999963,0.500000067,0.37987013,0.34675325,0.27337662,0.16493506,0.50584416,0.32922078,3.636806764
2020,ARI,862,1997,2238,482,311,101,12,58,269,255,181,5,461,36,23,1,37,23,7,0.241362043,2238,0.241362043,45,6,0.080875781,0.205987488,0.392624728,0.31247206,0.391086629,0.703558689,0.149724586,0.282478347,1.245353159,0.219133807,0.433096315,0.347769877,0.100371747,0.107806691,0.067164179,0.461538461,0.30565183,-26.70275667,254.0819899,4.733347477,87.76078727,-0.102335646,4.100000046,1.50000003,0.44074311,0.34016656,0.21909033,0.15566944,0.51569507,0.32863549,3.136804088
2020,OAK,865,1908,2201,430,257,91,11,71,274,264,238,5,524,39,14,2,44,26,3,0.225366876,2201,0.225366876,27,1,0.108132666,0.238073602,0.454198473,0.321509777,0.396226415,0.717736192,0.170859539,0.270535041,0.932384341,0.220946915,0.3758967,0.403156384,0.117437722,0.126334519,0.051526717,0.166666666,0.31374907,-11.10789223,265.0347472,4.998537853,103.0980012,2.217054197,3.899999797,0.300000019,0.42285714,0.33714286,0.24,0.15642857,0.51285714,0.33071429,2.570946647
2020,SDP,913,1972,2231,506,296,103,12,95,325,312,204,6,479,28,14,12,37,55,13,0.256592292,2231,0.256592292,46,7,0.091438816,0.214701927,0.425887265,0.332732191,0.465517241,0.798249432,0.208924949,0.291076487,1.272200772,0.213760855,0.44021376,0.346025384,0.079150579,0.183397683,0.069802731,0.318181818,0.340970565,39.33921621,319.2457263,5.797298791,116.4390791,3.69318658,-3.200000152,1.599999979,0.41277156,0.33772219,0.24950625,0.15009875,0.46543779,0.38446346,1.727390204
2020,ATL,900,2074,2344,556,320,130,3,103,348,338,239,13,573,23,7,1,39,23,4,0.268081002,2344,0.268081002,42,1,0.101962457,0.244453924,0.417102966,0.349125053,0.482642237,0.83176729,0.214561235,0.322419928,0.998260869,0.23654485,0.381395348,0.3820598,0.069565217,0.179130434,0.073170731,0.333333333,0.354751343,69.97480225,364.0585582,3.817003691,119.8175515,1.055479934,0.900000036,1.699999943,0.41114058,0.33488064,0.25397878,0.16037111,0.48177601,0.35785288,1.321170547
2020,LAA,890,2020,2308,501,311,97,8,85,294,285,239,8,490,25,18,6,49,21,8,0.248019801,2308,0.248019801,44,0,0.103552859,0.212305025,0.487755102,0.332319721,0.430198019,0.76251774,0.182178218,0.284347231,1.152631578,0.205825242,0.425242718,0.368932038,0.121052631,0.149122807,0.06697108,0.0,0.329070593,18.33497712,307.9020884,3.848527991,106.4586926,-1.076606465,-1.199999973,-1.199999973,0.42728443,0.33140283,0.24131274,0.14543115,0.51480051,0.33976834,1.245210616
