Season,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PA.1,AVG.1,IFH,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Spd,wRC+,wSB,UBR,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,XBR
2018,ATL,2377,5582,6251,1433,915,314,29,175,759,717,511,53,1290,66,43,49,99,90,36,0.256718022,6251,0.256718022,119,17,0.08174692,0.206366981,0.396124031,0.324089003,0.417413113,0.741502116,0.160695091,0.302403846,1.251872021,0.229802095,0.428172293,0.342025611,0.088495575,0.119128658,0.064709081,0.193181818,0.318899838,16.89142807,747.2028763,4.547634278,95.99744076,-0.16054488,11.00000026,1.800000116,0.40930869,0.33812457,0.25256674,0.16655259,0.4690851,0.36436231,12.63589949
2018,TBR,2371,5475,6195,1415,948,274,43,150,716,664,540,17,1388,101,50,28,122,128,51,0.258447488,6195,0.258447488,126,23,0.08716707,0.224051654,0.389048991,0.333441453,0.406392694,0.739834147,0.147945206,0.317281163,1.407993966,0.220839433,0.455588091,0.323572474,0.107843137,0.113122171,0.067487948,0.343283582,0.322231075,37.38700658,761.155911,5.236903131,106.6310332,1.015101693,-1.300000787,6.71e-08,0.37454982,0.34501801,0.28043217,0.18223289,0.46578631,0.35198079,7.470308789
2018,SEA,2373,5513,6087,1402,938,256,32,176,677,644,430,17,1221,70,41,29,128,79,37,0.254307999,6087,0.254307999,123,16,0.070642352,0.200591424,0.352170352,0.314172447,0.408126247,0.722298694,0.153818248,0.294924224,1.324175824,0.210636808,0.449731747,0.339631443,0.094780219,0.12087912,0.06379668,0.213333333,0.312642007,-10.97893897,700.1722025,4.231673275,99.85665781,-2.723045725,-1.70000045,-2.600000069,0.40577717,0.34915177,0.24507107,0.17239798,0.50710683,0.32049519,7.25166041
2018,TEX,2300,5453,6163,1308,824,266,24,194,737,696,555,16,1484,88,34,33,104,74,35,0.239867962,6163,0.239867962,118,26,0.090053545,0.240791822,0.373989218,0.318270799,0.404181184,0.722451983,0.164313222,0.292465213,1.251445086,0.21113924,0.438481012,0.350379746,0.098988439,0.14017341,0.06812933,0.302325581,0.314589283,-1.957436016,718.072872,4.309510125,88.58518282,-2.983351688,6.899999954,3.299999826,0.40485629,0.34018831,0.2549554,0.17170466,0.45515362,0.37314172,4.627626701
2018,DET,2323,5494,6029,1326,872,284,35,135,630,597,428,18,1341,52,40,15,110,70,30,0.241354204,6029,0.241354204,132,18,0.070990213,0.222424946,0.319164802,0.300299301,0.379504914,0.679804215,0.13815071,0.293494332,1.200819672,0.22436206,0.423206547,0.352431391,0.109972677,0.092213114,0.075085324,0.333333333,0.295319128,-95.53280118,608.8421342,4.466028661,82.72204662,-1.463958902,5.199999742,2.699999958,0.41088403,0.33174905,0.25736692,0.17894487,0.46007605,0.36097909,4.515103646
2018,SFG,2412,5541,6113,1324,906,255,30,133,603,573,448,40,1467,49,42,33,113,77,34,0.238946038,6113,0.238946038,118,12,0.073286438,0.239980369,0.305385139,0.299506578,0.367803645,0.667310223,0.128857607,0.299020838,1.33898305,0.221295387,0.445780176,0.332924435,0.095799557,0.098010316,0.064942212,0.164383561,0.289565249,-128.9047127,585.2840384,4.139746659,81.61952386,-1.761284654,-1.099999912,8.2e-08,0.38274283,0.34875874,0.26849843,0.17980236,0.45866474,0.3615329,4.487494041
2018,SDP,2380,5486,6059,1289,847,250,30,162,617,583,471,28,1523,31,36,35,122,95,36,0.23496172,6059,0.23496172,135,16,0.077735599,0.25136161,0.309258043,0.297310756,0.38005833,0.677369086,0.14509661,0.293719051,1.466189339,0.214195183,0.467173637,0.318631178,0.115354017,0.128878281,0.073250135,0.17977528,0.293680759,-106.6459351,601.2339344,4.386674176,84.36548363,1.128406202,-2.899999984,-3.899999984,0.3916708,0.35721368,0.25111552,0.19806644,0.43282102,0.36911254,3.664835426
2018,ARI,2409,5460,6157,1283,798,259,50,176,693,658,560,36,1460,52,45,38,110,79,25,0.234981684,6157,0.234981684,108,11,0.090953386,0.237128471,0.383561643,0.309792381,0.397435897,0.707228278,0.162454213,0.286120444,1.297777777,0.2245,0.438,0.3375,0.10074074,0.13037037,0.061643835,0.13253012,0.305872448,-47.65534491,671.6739763,5.173585672,88.33135299,2.27098208,3.400000066,1.400000036,0.39872643,0.34998775,0.25128582,0.1719324,0.43056576,0.39750184,3.609388618
2018,PIT,2293,5447,6066,1381,896,290,38,157,692,665,474,38,1229,59,52,31,121,70,38,0.253534055,6066,0.253534055,133,18,0.078140454,0.202604681,0.385679414,0.317307692,0.407196621,0.724504313,0.153662566,0.297592997,1.266530334,0.213762118,0.439347363,0.346890517,0.090661213,0.107021131,0.071582346,0.253521126,0.312263569,-15.63901844,693.0586691,4.40310015,94.87276257,-4.85616171,-4.099999972,-4.299999885,0.38255814,0.34930233,0.26813953,0.19093023,0.48627907,0.3227907,3.411876346
2018,LAD,2574,5572,6358,1394,830,296,33,235,804,756,647,47,1436,61,39,39,119,75,24,0.250179468,6358,0.250179468,104,5,0.10176156,0.225857187,0.450557103,0.33264757,0.441672648,0.774320218,0.19149318,0.294162436,1.049779458,0.214251207,0.402415458,0.383333333,0.105860113,0.148078134,0.062424969,0.067567567,0.332617834,87.64575815,830.4581382,4.602031086,111.3588433,1.591057833,10.49999976,-0.700000174,0.41789274,0.33863313,0.24347413,0.17204556,0.43877551,0.38917893,3.123988339
