Name,Team,Name,Team,Season,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,IFH,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,WAR,Spd,wRC+,BsR,Def,wSB,UBR,Off,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,xBA,xSLG,xwOBA,XBR,O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),NameASCII,PlayerId,MLBAMID
"A.J. Minter","ATL","A.J. Minter","ATL",2021,27,61,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2601495652733109,-0.13909377598145223,-0.26787378334381795,-0.011369749458109313,0.14285714,-100,0,0.12093835324048996,0,,-0.26787378334381795,,,,,,,,,,0,,,0,,0,,,0,,0,0,0,,,,0.8,24.5,"A.J. Minter",18655,621345
"Aaron Ashby","MIL","Aaron Ashby","MIL",2021,23,14,2,4,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0.25,0.5,0.5,0.333333333,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0.23057218392690024,-0.2775167449403531,0.20670641222708158,-0.3025813623357541,0.03128087390287624,0.14285714,40.57968651937423,-0.003422521287575364,0.48375341296195984,-0.003422521287575364,,-0.3060038836233295,,0,0,1,0,1,0,,,0,0,,0,0,1,0,0,0.231,,0,0.5,0.33333333,,0.4,0.4,0.66666667,16.90909091,"Aaron Ashby",23550,676879
"Aaron Civale","CLE","Aaron Civale","CLE",2021,26,21,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0.34585827589035034,0.05201200656804603,0.2941235851517634,0.05434697382363838,0.03623078827484004,0.14285714,122.19439516045219,-0.003422521287575364,0.24187670648097992,-0.003422521287575364,,0.050924452536063015,,,,,,,,,,0,,,0,,0,,,0.346,,0,0.16666667,0.1,,1,1,0.6,13.25,"Aaron Civale",19479,650644
"Aaron Hicks","NYY","Aaron Hicks","NYY",2021,31,32,108,126,21,14,3,0,4,13,14,14,0,30,2,2,0,3,0,0,0.194444444,2,0,0.111111111,0.238095238,0.466666666,0.293650793,0.333333333,0.626984126,0.138888889,0.22368421,0.777777777,0.2,0.35,0.45,0.166666666,0.111111111,0.071428571,0,0.27925146950615776,-3.666979343873981,11.586050106900213,-3.5267303895778688,0.05968800361874296,1.332373265,77.13876655875539,-0.33884438080713153,0.1445603370666504,-0.10267563862726092,-0.10000000149011612,-3.8655747703850003,0,0.425,0.3875,0.1875,0.2125,0.4875,0.3,89.25604858398438,19.103297424316406,8,0.1,109.559,31,0.3875,80,0.24,0.421,0.333,-0.2361687421798706,0.17842324,0.6037037,0.40313112,0.46511628,0.80981595,0.73786408,0.52837573,25.04986877,"Aaron Hicks",5297,543305
"Aaron Judge","NYY","Aaron Judge","NYY",2021,29,148,550,633,158,95,24,0,39,89,98,75,2,158,3,5,0,16,6,1,0.287272727,10,0,0.118483412,0.249605055,0.474683544,0.372827804,0.543636363,0.916464167,0.256363636,0.332402234,1.163120567,0.231738035,0.413098236,0.355163727,0.035460992,0.276595744,0.060975609,0,0.38704453784199033,38.032295348534426,114.66060997028096,38.73687938083156,5.472517568699661,2.896148537316562,149.9826024255484,0.16720906388945878,-6.013209104537964,0.1954256717581302,-0.4000000134110451,38.90408844472102,0.10000000149011612,0.3627204,0.37027708,0.26700252,0.08564232,0.44584383,0.46851385,95.82280099936548,11.568825348984772,70,0.17632242,119.035,230,0.57934509,397,0.308,0.594,0.418,-0.028216607868671417,0.22648336,0.64508393,0.4253703,0.46964856,0.83271375,0.73125,0.47512343,24.07005076,"Aaron Judge",15640,592450
"Aaron Nola","PHI","Aaron Nola","PHI",2021,28,33,49,63,7,5,2,0,0,5,4,6,0,29,0,1,7,0,0,0,0.142857142,0,0,0.095238095,0.46031746,0.206896551,0.232142857,0.183673469,0.415816326,0.040816327,0.333333333,3.666666666,0.222222222,0.611111111,0.166666666,0,0,0,0,0.1969440888081278,-6.123747180874946,1.5027675445121504,-6.5418002341944,0.2648208015433928,1.92170329,18.433939968588888,-0.5500348310451955,7.619116306304932,-0.037647734163329005,,-7.091835065239596,,0.14285714,0.32142857,0.53571429,0.14285714,0.71428571,0.14285714,85.84528266059027,-4.011238945855035,0,0,100.788,3,0.10714286,28,0.103,0.133,0.179,-0.5123870968818665,0.07407407,0.40689655,0.26482213,0.375,0.89830508,0.8358209,0.57312253,21.76190476,"Aaron Nola",16149,605400
"Aaron Sanchez","SFG","Aaron Sanchez","SFG",2021,28,9,10,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,2,0,0.666666666,0.333333333,0,0,0,0,0,-2.6014956527331092,-1.3909377598145223,-2.6151939921953895,-0.1073256207373194,0.14285714,-100,0,1.209383487701416,0,,-2.6151939921953895,,0,0.66666667,0.33333333,0.33333333,0.66666667,0,72.532958984375,-7.715307871500651,0,0,80.5175,0,0,3,0.053,0.061,0.052,,0.41666667,0.80769231,0.68421053,0,0.71428571,0.57692308,0.68421053,19.21428571,"Aaron Sanchez",11490,592717
"Abraham Almonte","ATL","Abraham Almonte","ATL",2021,32,64,148,175,32,15,12,0,5,20,19,26,0,38,0,1,0,2,1,1,0.216216216,3,0,0.148571428,0.217142857,0.684210526,0.331428571,0.398648648,0.730077219,0.182432432,0.254716981,1.333333333,0.18018018,0.468468468,0.351351351,0.102564102,0.128205128,0.057692307,0,0.3205874943733215,0.8920645463992497,22.07682767247452,-0.45967361593948397,-0.14162547215153784,2.2522521561327995,97.93669094320954,-2.0015180280897766,-4.822441458702087,-0.35964657575823367,-1.5,-2.4611916440292605,0.5,0.45045045,0.30630631,0.24324324,0.10810811,0.5045045,0.38738739,89.25861150568181,10.455143599076704,8,0.07207207,109.799,46,0.41441441,111,0.228,0.358,0.317,-1.641871452331543,0.23119777,0.60794045,0.43044619,0.59036145,0.86122449,0.79268293,0.52887139,24.12027491,"Abraham Almonte",5486,501659
"Abraham Toro","- - -","Abraham Toro","- - -",2021,24,95,335,375,80,57,12,0,11,45,46,31,0,54,7,2,0,5,6,3,0.23880597,18,0,0.082666666,0.144,0.574074074,0.314666666,0.373134328,0.687800994,0.134328358,0.25367647,0.959349593,0.148409893,0.41696113,0.434628975,0.073170731,0.089430894,0.152542372,0,0.302864951133728,-3.587149775554938,41.80877120889206,-2.6767207076452206,0.4424327594430312,3.586071926884196,94.1699841650867,-2.1016475853975862,-3.655450403690338,-0.3831091222818941,-0.2999999523162842,-4.778368293042806,0.6000000238418579,0.33922261,0.38515901,0.27561837,0.17314488,0.52650177,0.30035336,86.80467881172153,13.698094486766013,21,0.07420495,108.994,95,0.33568905,283,0.247,0.416,0.323,-1.7185384631156921,0.31476323,0.63010204,0.47936085,0.71681416,0.89676113,0.84027778,0.52197071,22.7562724,"Abraham Toro",19844,647351
"Adalberto Mondesi","KCR","Adalberto Mondesi","KCR",2021,25,35,126,136,29,14,8,1,6,19,17,6,0,43,1,0,3,2,15,1,0.23015873,1,1,0.044117647,0.31617647,0.139534883,0.270676691,0.452380952,0.723057643,0.222222222,0.298701298,1,0.139240506,0.430379746,0.430379746,0.264705882,0.176470588,0.029411764,0.142857142,0.30615991443619694,-0.9301791001212357,15.533408243571543,-1.7898388911139724,0.9534318246235522,8.63464680680271,89.25087840870977,2.9397960777860135,3.699368581175804,2.508803891716525,0,1.149957186672041,0,0.45348837,0.38372093,0.1627907,0.18604651,0.43023256,0.38372093,92.267822265625,16.110553448016827,11,0.12790698,112.594,38,0.44186047,86,0.233,0.473,0.318,0.4309921860694885,0.3452381,0.79381443,0.58563536,0.34482759,0.77922078,0.66037736,0.5359116,22.96526055,"Adalberto Mondesi",13769,609275
