Name,Team,Name,Team,Season,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,IFH,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,WAR,Spd,wRC+,BsR,Def,wSB,UBR,Off,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,xBA,xSLG,xwOBA,XBR,O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),NameASCII,PlayerId,MLBAMID
"Aaron Hicks","NYY","Aaron Hicks","NYY",2022,32,130,384,453,83,64,9,2,8,54,40,62,3,109,4,2,1,10,10,3,0.216145833,15,0,0.136865342,0.240618101,0.568807339,0.329646017,0.3125,0.642146017,0.096354167,0.278810408,1.129629629,0.163636363,0.443636363,0.392727272,0.148148148,0.074074074,0.122950819,0,0.2922387125762905,-6.300462468166736,45.49848031381807,-5.611342019040969,0.8700389918971312,4.974553651229693,88.99218314780414,0.5745873595587909,-0.9740078747272491,0.28279758943244815,2.0000000447034836,-5.036754659482178,0.20000000298023224,0.47482014,0.26978417,0.25539568,0.20143885,0.51079137,0.28776978,87.8829341231685,14.806870457016942,16,0.05755396,109.6,92,0.33093525,278,0.218,0.336,0.303,0.2917897701263428,0.20833333,0.59824903,0.40755467,0.50731707,0.84227642,0.75853659,0.51093439,25.04833442,"Aaron Hicks",5297,543305
"Aaron Judge","NYY","Aaron Judge","NYY",2022,30,157,570,696,177,87,28,0,62,133,131,111,19,175,6,5,0,14,16,3,0.310526315,11,0,0.159482758,0.251436781,0.634285714,0.424855491,0.685964912,1.110820403,0.375438597,0.340236686,0.856321839,0.1925,0.3725,0.435,0.045977011,0.356321839,0.073825503,0,0.45819641417238366,82.08243445725579,161.66756508917948,83.14121554465432,11.077276388826474,4.036274779678594,206.15483678377262,1.0483842310495675,-0.6545345783233643,1.2427309569902718,0.3999999761581421,84.18959977570388,0.5,0.475,0.3175,0.2075,0.075,0.445,0.48,95.77863604323308,14.893024798323935,106,0.26237624,118.357,246,0.60891089,404,0.305,0.706,0.463,-0.19434672594070435,0.2243173,0.65423977,0.42670337,0.45217391,0.82569832,0.72177419,0.47075017,24.45884493,"Aaron Judge",15640,592450
"Aaron Whitefield","LAA","Aaron Whitefield","LAA",2022,25,5,11,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.454545454,0,0,0,0,0,0,4,0.333333333,0.666666666,0,0,0,0,0,0,-2.706807119937374,-1.4489961473063964,-2.711796460838749,-0.1893034981078594,0.14285714,-100,0,0.5616725021973252,0,-0.10000000149011612,-2.711796460838749,0,0.66666667,0.33333333,0,0,0.66666667,0.33333333,95.33423868815105,-1.8484052022298176,1,0.16666667,106.089,3,0.5,6,0.159,0.285,0.189,,0.2962963,0.57142857,0.41666667,0.375,0.66666667,0.55,0.4375,23.51351351,"Aaron Whitefield",19938,664334
"Abraham Almonte","BOS","Abraham Almonte","BOS",2022,33,15,35,37,9,6,2,0,1,7,2,1,0,12,1,0,0,1,1,0,0.257142857,2,0,0.027027027,0.324324324,0.083333333,0.297297297,0.4,0.697297297,0.142857143,0.363636363,0.9,0.173913043,0.391304347,0.434782608,0.1,0.1,0.222222222,0,0.3055950548197772,-0.12200902834060956,4.10880969778177,-0.3053018940937834,-0.037646884421270864,5.988406298459678,92.66735885464742,0.35095447674393654,-1.5719639360904694,0.16688736155629158,0.5,0.04565258265015315,0,0.30434783,0.52173913,0.17391304,0.2173913,0.60869565,0.17391304,88.14209515115489,14.63202435037364,1,0.04347826,110.727,7,0.30434783,23,0.184,0.295,0.234,0.18406711518764496,0.23684211,0.53947368,0.38815789,0.5,0.82926829,0.72881356,0.5,23.35652174,"Abraham Almonte",5486,501659
"Abraham Toro","SEA","Abraham Toro","SEA",2022,25,109,324,352,60,36,13,1,10,36,35,22,1,65,2,4,0,4,2,0,0.185185185,5,0,0.0625,0.18465909,0.338461538,0.238636363,0.324074074,0.562710437,0.138888889,0.197628458,0.859504132,0.144486692,0.395437262,0.460076045,0.099173553,0.082644628,0.048076923,0,0.24627701950888348,-17.74852546737295,22.501425656818338,-14.698971596218165,-0.6176928221450246,4.12374469493026,62.8911971472643,-0.861919152084738,-1.4315754929557443,0.15579427545890212,-1.7999999523162842,-15.560890748302903,0.5,0.46007605,0.3460076,0.19391635,0.19771863,0.57034221,0.23193916,87.01570668963879,16.70987553469582,18,0.06844106,108.248,78,0.29657795,263,0.226,0.372,0.284,-1.0177134275436401,0.30769231,0.62924668,0.47014925,0.6372549,0.87793427,0.8,0.50522388,22.32756867,"Abraham Toro",19844,647351
"Adalberto Mondesi","KCR","Adalberto Mondesi","KCR",2022,26,15,50,54,7,7,0,0,0,3,3,4,0,20,0,0,0,2,5,0,0.14,1,3,0.074074074,0.37037037,0.2,0.203703703,0.14,0.343703703,0,0.233333333,1.444444444,0.12,0.52,0.36,0.111111111,0,0.076923076,0.6,0.16559132381721778,-6.184166424066079,-0.009458012968553142,-6.371533341795457,0.014005054016275657,5.987402100209721,-4.853481972350925,0.960002982057631,3.8406221866607666,0.9544701329432428,0.10000000149011612,-5.411530359737826,-0.10000000149011612,0.46666667,0.26666667,0.26666667,0.1,0.6,0.3,88.00345552884616,7.797147897573618,1,0.03333333,105.7,8,0.26666667,30,0.166,0.231,0.211,0.0055328491143882275,0.29090909,0.71428571,0.49767442,0.21875,0.73333333,0.57943925,0.48837209,20.05095541,"Adalberto Mondesi",13769,609275
"Adam Duvall","ATL","Adam Duvall","ATL",2022,33,86,287,315,61,32,16,1,12,39,36,21,0,101,5,2,0,2,0,2,0.212543554,3,0,0.066666666,0.32063492,0.207920792,0.276190476,0.400696864,0.67688734,0.18815331,0.27840909,0.561224489,0.186170212,0.292553191,0.521276595,0.122448979,0.122448979,0.054545454,0,0.2952282627423604,-3.6329889383602616,32.38614345970864,-4.424668074815321,0.9028115817877825,3.2294898966991425,87.9100702552128,-0.327008250169456,2.512812376022339,-1.034426155500114,2.5,-4.751676324984777,1.2000000476837158,0.49468085,0.31914894,0.18617021,0.17021277,0.49468085,0.33510638,88.26375498670212,23.43626111619016,24,0.12765957,110.142,76,0.40425532,188,0.209,0.395,0.293,0.707417905330658,0.36217949,0.65436242,0.50491803,0.57964602,0.80769231,0.72402597,0.48852459,25.87725225,"Adam Duvall",10950,594807
"Adam Engel","CHW","Adam Engel","CHW",2022,30,119,245,260,55,39,13,1,2,32,17,11,1,76,4,0,0,2,12,4,0.224489795,5,0,0.042307692,0.292307692,0.144736842,0.269230769,0.310204081,0.57943485,0.085714286,0.317365269,1,0.214285714,0.392857142,0.392857142,0.136363636,0.03030303,0.075757575,0,0.2563050838050695,-11.03837491039109,18.691702624522925,-10.789685407913444,-0.13208366687953552,6.818862992072146,63.12193791649429,1.0108115174807608,0.3150293827056885,0.5919097759760916,0.699999988079071,-9.778873890432683,0.800000011920929,0.41420118,0.31360947,0.27218935,0.16568047,0.56804734,0.26627219,87.93978059505989,15.02694610778443,3,0.01775148,111.202,55,0.32544379,169,0.219,0.287,0.246,0.4189017415046692,0.294,0.65539112,0.4696814,0.41496599,0.80967742,0.68271335,0.48612539,22.32825485,"Adam Engel",15082,641553
"Adam Frazier","SEA","Adam Frazier","SEA",2022,30,156,541,602,129,100,22,4,3,61,42,46,1,73,5,6,4,15,11,6,0.238447319,5,1,0.07641196,0.121262458,0.630136986,0.301003344,0.310536044,0.611539388,0.072088725,0.267515923,1.182926829,0.239915074,0.411889596,0.348195329,0.085365853,0.018292682,0.025773195,0.142857142,0.27362392565712856,-17.275335053149515,51.56122908538217,-12.05990485304957,1.293442977869445,4.867154110377294,82.19753883702896,1.3262214912101626,4.052889697253704,-0.8039405094459653,1.7000000476837158,-10.733683361839407,-1.100000023841858,0.36610879,0.36192469,0.27196653,0.17991632,0.61087866,0.20920502,85.11796875,13.649449384973405,7,0.01464435,105.106,114,0.23849372,478,0.262,0.339,0.297,2.130162000656128,0.29379055,0.67086331,0.48516659,0.73817035,0.92627346,0.87017874,0.50753081,21.76962025,"Adam Frazier",15223,624428
"Adam Haseley","CHW","Adam Haseley","CHW",2022,26,14,21,25,5,5,0,0,0,4,2,3,0,7,0,0,1,0,0,0,0.238095238,4,0,0.12,0.28,0.428571428,0.333333333,0.238095238,0.571428571,0,0.357142857,12,0.142857142,0.857142857,0,0,0,0.333333333,0,0.2702285796403885,-0.7848489075018416,2.0738123939321986,-0.7609364553405294,-0.02365330528936754,2.64285714,72.95163370202408,-0.14279808476567268,-0.11056795716285706,-0.03311264142394066,-0.20000000298023224,-0.9037345401062021,0.10000000149011612,0.53333333,0.2,0.26666667,0.33333333,0.6,0.06666667,84.02049037388393,-14.664779663085938,0,0,100.708,5,0.33333333,15,0.219,0.254,0.266,-0.10968544334173203,0.32142857,0.80555556,0.51086957,0.55555556,0.86206897,0.74468085,0.39130435,19.49253731,"Adam Haseley",19878,656514
