Season,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PA.1,AVG.1,IFH,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Spd,wRC+,wSB,UBR,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,XBR
2021,TBR,2389,5507,6213,1336,790,288,36,222,857,810,585,27,1542,72,41,6,75,88,42,0.242600326,6213,0.242600326,150,9,0.094157411,0.24818928,0.379377431,0.321192586,0.428908661,0.750101247,0.186308335,0.294397463,1.10331384,0.188518425,0.425670594,0.38581098,0.109161793,0.144249512,0.088339222,0.391304347,0.322418134,40.92152253,793.0411414,4.999178817,108.7515154,-4.871554616,5.299999364,10.79999997,0.39930209,0.36091725,0.23978066,0.1774676,0.49052841,0.33200399,15.47224897
2021,STL,2384,5351,6001,1303,822,261,22,198,706,678,478,32,1341,86,44,40,99,89,22,0.243505886,6001,0.243505886,117,10,0.079653391,0.223462756,0.35645041,0.313307601,0.411511866,0.724819467,0.16800598,0.28656639,1.041480536,0.205414803,0.405365126,0.389220069,0.098276962,0.126356094,0.071691176,0.149253731,0.311967471,-18.19730874,708.2584828,4.461498961,95.22809258,3.940795911,5.499999851,2.299999967,0.42047398,0.34253604,0.23698998,0.16027364,0.51698021,0.32274615,6.722496539
2021,MIA,2436,5348,5928,1244,837,226,23,158,623,594,450,25,1553,65,30,30,95,106,29,0.232610321,5928,0.232610321,119,10,0.075910931,0.261977058,0.289761751,0.298489733,0.37210172,0.670591453,0.139491399,0.296154895,1.329240214,0.200474183,0.456269757,0.343256059,0.110514198,0.121258633,0.068706697,0.166666666,0.291475802,-115.9751909,601.643528,4.745691148,79.54603684,4.497941595,-3.800000057,-0.29999996,0.37914938,0.34828838,0.27256224,0.18360996,0.51556017,0.30082988,5.940860471
2021,CLE,2300,5332,5907,1269,796,248,22,203,717,686,453,18,1387,64,36,20,105,109,17,0.237996999,5907,0.237996999,124,13,0.076688674,0.234806162,0.326604181,0.303483432,0.406976744,0.710460176,0.168979745,0.282159872,1.193615544,0.199949379,0.435332827,0.364717792,0.108952116,0.140874392,0.072093023,0.26,0.306217071,-40.33361375,674.7429336,5.177954,95.40001295,10.23934076,-1.000000119,-1.799999952,0.40014996,0.34891277,0.25093727,0.16395901,0.51587103,0.32016996,5.294885915
2021,DET,2341,5376,5979,1299,847,236,37,179,697,675,490,8,1514,44,50,17,113,88,25,0.241629464,5979,0.241629464,99,6,0.081953503,0.253219601,0.32364597,0.307550335,0.399181547,0.706731882,0.157552083,0.300026788,1.158196134,0.225731895,0.415511042,0.358757062,0.103793843,0.12813171,0.06118665,0.171428571,0.305769973,-43.07933571,680.7132285,4.899645092,92.77382265,2.417798386,0.499999791,-1.699999876,0.39144821,0.34130822,0.26724357,0.16467294,0.52837872,0.30694833,4.504195367
2021,TEX,2252,5405,5943,1254,838,225,24,167,625,598,433,10,1381,58,31,16,113,106,29,0.2320074,5943,0.2320074,124,5,0.072858825,0.232374221,0.313540912,0.294415387,0.37520814,0.669623527,0.14320074,0.279578189,1.3390681,0.189719394,0.463868885,0.34641172,0.092473118,0.119713261,0.066381156,0.113636363,0.291229864,-113.9220904,605.5124654,4.743072987,83.02231668,4.525321765,-3.699999914,-2.599999957,0.38074183,0.36109064,0.25816753,0.16138541,0.52665193,0.31196266,3.898855616
2021,PHI,2394,5366,6089,1288,804,262,24,198,734,700,564,37,1402,67,43,47,103,77,19,0.240029817,6089,0.240029817,143,25,0.092626046,0.230251272,0.402282453,0.317715231,0.40849795,0.726213181,0.168468133,0.286164347,1.274765003,0.203544303,0.446329113,0.350126582,0.109182935,0.143167028,0.081111741,0.240384615,0.313159776,-10.09651993,727.0121811,4.562665441,93.55727231,2.648174556,3.400000043,1.800000042,0.38924519,0.34928466,0.26147015,0.17636902,0.51406019,0.30957079,3.881106631
2021,LAA,2325,5437,6016,1331,853,265,23,190,723,691,464,35,1394,59,25,30,107,79,26,0.244804119,6016,0.244804119,121,18,0.077127659,0.231715425,0.332855093,0.309774436,0.406842008,0.716616444,0.162037889,0.294223826,1.21513665,0.214853452,0.430700447,0.3544461,0.105816398,0.133146461,0.069780853,0.25,0.308489576,-29.06853636,699.203092,4.572221088,93.11723259,0.307995834,4.399999827,2.100000001,0.40239141,0.34260615,0.25500244,0.17105905,0.52489019,0.30405076,3.03700862
2021,ATL,2392,5363,6056,1307,779,269,20,239,790,762,549,36,1453,67,43,32,81,59,19,0.24370688,6056,0.24370688,114,6,0.090653896,0.239927344,0.377838953,0.319329126,0.435017713,0.754346839,0.191310833,0.287560581,1.043421052,0.210873983,0.402947154,0.386178861,0.0875,0.157236842,0.07187894,0.125,0.32290755,39.22139374,772.3352537,4.123221577,99.06803293,-0.818347167,0.899999961,5.299999945,0.41942771,0.34638554,0.23418675,0.1561245,0.51154618,0.33232932,2.97145146
2021,PIT,2393,5336,5983,1261,862,240,35,124,609,570,529,24,1328,49,37,31,102,60,30,0.23631934,5983,0.23631934,128,18,0.088417182,0.221962226,0.398343373,0.309023693,0.364130434,0.673154127,0.127811094,0.289977046,1.343217197,0.210342243,0.452660504,0.336997252,0.076352853,0.09191994,0.070640176,0.25,0.294266907,-103.3528474,620.92394,4.166256025,80.46529026,-5.425986143,-2.699999951,4.199999951,0.37668712,0.37055215,0.25276074,0.18257669,0.52417178,0.29325153,2.794455015
