Name,Team,Name,Team,Season,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,IFH,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,WAR,Spd,wRC+,BsR,Def,wSB,UBR,Off,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,xBA,xSLG,xwOBA,XBR,O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),NameASCII,PlayerId,MLBAMID
"Aaron Hicks","- - -","Aaron Hicks","- - -",2023,33,93,269,312,68,50,9,1,8,44,36,42,1,69,0,1,0,3,6,0,0.252788104,7,0,0.134615384,0.221153846,0.608695652,0.352564102,0.382899628,0.73546373,0.130111524,0.310880829,1.179487179,0.145728643,0.462311557,0.391959798,0.141025641,0.102564102,0.076086956,0,0.32621970494843755,2.0561204125815333,40.071504550212,3.3290456702643336,0.936079906431554,5.164104742268087,108.90497246360722,1.0641793231479824,-5.715305805206299,0.4988337676040828,2.500000186264515,4.393224993412316,0.20000001043081284,0.45771144,0.30845771,0.23383085,0.23880597,0.52736318,0.23383085,85.33061102078045,12.644661951546718,8,0.039801,106.659,59,0.29353234,201,0.207,0.304,0.282,0.5653455555438995,0.21758569,0.58125915,0.40103397,0.55479452,0.85894207,0.7771639,0.50443131,18.99903288,"Aaron Hicks",5297,543305
"Aaron Judge","NYY","Aaron Judge","NYY",2023,31,106,367,458,98,45,16,0,37,79,75,88,9,130,0,3,0,5,3,1,0.267029972,4,0,0.192139737,0.283842794,0.676923076,0.406113537,0.613079019,1.019192556,0.346049047,0.30049261,0.608333333,0.195833333,0.304166666,0.5,0.066666666,0.308333333,0.05479452,0,0.4203612742020452,38.79276374827123,94.5973981554339,39.575226076943636,4.712504446572604,2.5870046857705833,172.1149568835673,-2.3980481419712305,-5.6394772827625275,-0.7775133643299341,0.2999999523162842,37.177177934972406,1.5,0.45,0.34166667,0.20833333,0.07916667,0.38333333,0.5375,97.6498676124477,20.38250809035042,66,0.275,116.943,154,0.64166667,240,0.289,0.712,0.461,-1.6205347776412964,0.17641026,0.66198704,0.41294056,0.33139535,0.75693312,0.66369427,0.48711205,18.98685121,"Aaron Judge",15640,592450
"Abraham Almonte","NYM","Abraham Almonte","NYM",2023,34,8,15,16,1,0,1,0,0,1,0,1,0,8,0,0,0,0,0,0,0.066666666,0,0,0.0625,0.5,0.125,0.125,0.133333333,0.258333333,0.066666667,0.142857142,2.5,0,0.714285714,0.285714285,0,0,0,0,0.12122907862067223,-2.6196864605827845,-0.6701795817299403,-2.5700624943657435,-0.2903844111462248,2.64285714,-29.659768943370267,-0.13923958083614707,-0.7465790212154388,-0.007705123629420996,0,-2.7093020752018906,0,0.42857143,0.28571429,0.28571429,0.14285714,0.42857143,0.42857143,90.97252546037946,3.9483323778424944,1,0.14285714,106.896,5,0.71428571,7,0.144,0.212,0.185,-0.13153445720672607,0.46153846,0.75862069,0.58823529,0.44444444,0.81818182,0.65,0.42647059,19.32692308,"Abraham Almonte",5486,501659
"Abraham Toro","MIL","Abraham Toro","MIL",2023,26,9,18,21,8,6,0,0,2,4,9,2,0,5,1,0,0,0,0,0,0.444444444,0,0,0.095238095,0.238095238,0.4,0.523809523,0.777777777,1.3015873,0.333333333,0.545454545,1.666666666,0.384615384,0.384615384,0.23076923,0,0.666666666,0,0,0.5438676476478577,3.9327331848802825,6.4914609633746405,3.8962264873447676,0.24615286284483665,1.08035714,249.7636588942048,-0.09403760498389602,-2.0474379807710648,-0.06934611266478896,-0.800000011920929,3.8021888823608716,0.30000001192092896,0.69230769,0.15384615,0.15384615,0.07692308,0.53846154,0.38461538,86.6285869891827,11.07486314039964,2,0.15384615,106.15,4,0.30769231,13,0.383,0.644,0.475,-0.024691492319107056,0.29032258,0.52631579,0.42028986,0.33333333,0.75,0.62068966,0.55072464,17.08333333,"Abraham Toro",19844,647351
"Adam Duvall","BOS","Adam Duvall","BOS",2023,34,92,320,353,79,32,24,2,21,45,58,22,1,110,6,5,0,0,4,0,0.246875,3,0,0.062322946,0.31161473,0.2,0.303116147,0.53125,0.834366147,0.284375,0.298969072,0.360655737,0.227906976,0.204651162,0.56744186,0.172131147,0.172131147,0.068181818,0,0.34740112840451975,8.509628811100072,51.52062432579095,6.67711961380536,1.4627448149334443,5.272625364246583,115.78635527887626,0.8266300330869853,-4.95158588886261,0.3453977177850902,0.5,7.503749646892345,2.200000047683716,0.58604651,0.26046512,0.15348837,0.2,0.45116279,0.34883721,88.75296619450934,28.927962543808412,28,0.13023256,110.032,84,0.39069767,215,0.21,0.436,0.304,0.48123231530189514,0.35103245,0.61702128,0.48203593,0.55462185,0.81034483,0.71583851,0.49251497,20.42034943,"Adam Duvall",10950,594807
"Adam Engel","SDP","Adam Engel","SDP",2023,31,5,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0.333333333,0,0,0,0,0,0,1,0,0.5,0.5,1,0,0,0,0,-1.5864705029754633,-0.8554054234056466,-1.5666421387224192,-0.23152759894916622,0,-100,-0.42207804322242737,-0.5370438639074564,-0.42207804322242737,0,-1.9887201819448466,0,0.5,0.25,0.25,0.75,0,0.25,81.05029296875,34.05645751953125,0,0,85.0912,0,0,4,0.079,0.082,0.073,,0.30769231,0.73333333,0.53571429,0.75,0.63636364,0.66666667,0.53571429,18.68181818,"Adam Engel",15082,641553
"Adam Frazier","BAL","Adam Frazier","BAL",2023,31,141,412,455,99,63,21,2,13,59,60,32,0,68,4,2,4,4,11,4,0.240291262,5,1,0.07032967,0.149450549,0.470588235,0.3,0.395631067,0.695631067,0.155339805,0.258258258,0.992125984,0.266666666,0.365217391,0.368115942,0.094488188,0.102362204,0.039682539,0.2,0.3024059746000502,-6.034255311570335,49.404846555807424,-3.830427438697982,0.42924668246198316,5.498945223561147,92.97407895874062,1.4052246767096221,-8.888043284416199,-0.2511193794198334,1.1000001430511475,-2.42520276198836,1.2999999523162842,0.39142857,0.35142857,0.25714286,0.16571429,0.59142857,0.24285714,85.66973505434783,15.187703804347827,11,0.03133903,106.683,80,0.22792023,351,0.261,0.361,0.301,1.6563440561294556,0.29976019,0.64371585,0.47970269,0.628,0.89813243,0.81764005,0.52315609,18.53328173,"Adam Frazier",15223,624428
"Adam Haseley","CHW","Adam Haseley","CHW",2023,27,28,36,39,8,6,2,0,0,6,2,3,0,8,0,0,0,1,1,0,0.222222222,1,0,0.076923076,0.205128205,0.375,0.282051282,0.277777777,0.559829059,0.055555555,0.285714285,1.555555555,0.178571428,0.5,0.321428571,0.111111111,0,0.071428571,0,0.2530884910852481,-2.1145999866146727,2.637323030589135,-2.071440069617717,-0.1119497950989834,5.797005399502946,55.67230105679204,0.1881913379766047,-0.5780956000089645,0.13065389031544328,0,-1.8832487316411122,-0.10000000149011612,0.32142857,0.42857143,0.25,0.25,0.46428571,0.28571429,87.63374546595982,7.986881256103516,1,0.03571429,107.784,11,0.39285714,28,0.25,0.346,0.29,0.05753744766116142,0.33333333,0.71212121,0.52713178,0.47619048,0.85106383,0.73529412,0.51162791,18.71111111,"Adam Haseley",19878,656514
"Adam Wainwright","STL","Adam Wainwright","STL",2023,41,23,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-0.5288235009918211,-0.28513514113521554,-0.5277168960580824,-0.056616135126456205,0.14285714,-100,0,-0.10802468657493591,0,,-0.5277168960580824,,0,1,0,0,1,0,102.0633316040039,-7.963510513305664,0,0,102.063,1,1,1,0.131,0.139,0.117,,1,0.75,0.85714286,0.66666667,0.66666667,0.66666667,0.57142857,21,"Adam Wainwright",2233,425794
"Adley Rutschman","BAL","Adley Rutschman","BAL",2023,25,154,588,687,163,111,31,1,20,84,80,92,6,101,2,5,0,14,1,2,0.277210884,14,0,0.133915574,0.147016011,0.910891089,0.374090247,0.435374149,0.809464396,0.158163265,0.302966101,1.223529411,0.231707317,0.422764227,0.345528455,0.076470588,0.117647058,0.067307692,0,0.35164259393834857,18.98122962845339,102.68818123919739,22.308767537603515,5.61357428825963,1.7744562889336175,127.10105906444134,-1.8854766734875739,12.290211200714111,-2.1774756857194006,0.30000001192092896,20.42329086411594,-1.100000023841858,0.38414634,0.32317073,0.29268293,0.16260163,0.53861789,0.29878049,88.42274040904472,12.569809332126525,37,0.07520325,111.101,189,0.38414634,492,0.292,0.469,0.373,0.2919990122318268,0.24289581,0.58274895,0.40977961,0.73816156,0.91576414,0.86218487,0.49104683,18.7527027,"Adley Rutschman",26288,668939
