Season,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PA,AVG,IFH,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Spd,wRC+,wSB,UBR,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,XBR
2023,ARI,2406,5436,6124,1359,875,274,44,166,746,706,540,11,1247,58,50,36,121,166,26,0.25,6124,0.25,111,18,0.088177661,0.203625081,0.433039294,0.321663379,0.408204562,0.729867941,0.158204562,0.292904493,1.272173324,0.202281911,0.446636558,0.35108153,0.09817197,0.112389979,0.059073975,0.264705882,0.316970377,-7.31975529,738.8540026,6.014004722,96.3650971,10.96108062,0.399999678,-2.49999997,0.40397661,0.3548538,0.24116959,0.14947368,0.51883041,0.33169591,7.973667199
2016,CHC,2332,5503,6335,1409,887,293,30,199,808,767,656,45,1339,96,37,42,108,66,34,0.256042158,6335,0.256042158,132,27,0.103551696,0.21136543,0.489917849,0.343452002,0.428675268,0.77212727,0.17263311,0.302348825,1.169761273,0.212515042,0.424548736,0.362936221,0.100132625,0.131962864,0.074829931,0.306818181,0.333325697,75.61238169,821.903826,4.132222411,105.6801149,-4.307533642,11.79999956,9.800000049,0.42823474,0.34951685,0.22224841,0.19538063,0.49658261,0.30803677,7.789275337
2018,TBR,2371,5475,6195,1415,948,274,43,150,716,664,540,17,1388,101,50,28,122,128,51,0.258447488,6195,0.258447488,126,23,0.08716707,0.224051654,0.389048991,0.333441453,0.406392694,0.739834147,0.147945206,0.317281163,1.407993966,0.220839433,0.455588091,0.323572474,0.107843137,0.113122171,0.067487948,0.343283582,0.322231075,37.38700658,761.155911,5.236903131,106.6310332,1.015101693,-1.300000787,6.71E-08,0.37454982,0.34501801,0.28043217,0.18223289,0.46578631,0.35198079,7.470308789
2018,SEA,2373,5513,6087,1402,938,256,32,176,677,644,430,17,1221,70,41,29,128,79,37,0.254307999,6087,0.254307999,123,16,0.070642352,0.200591424,0.352170352,0.314172447,0.408126247,0.722298694,0.153818248,0.294924224,1.324175824,0.210636808,0.449731747,0.339631443,0.094780219,0.12087912,0.06379668,0.213333333,0.312642007,-10.97893897,700.1722025,4.231673275,99.85665781,-2.723045725,-1.70000045,-2.600000069,0.40577717,0.34915177,0.24507107,0.17239798,0.50710683,0.32049519,7.25166041
2019,ATL,2411,5560,6302,1432,877,277,29,249,855,824,619,39,1467,60,35,25,104,89,28,0.257553956,6302,0.257553956,122,4,0.098222786,0.232783243,0.421949556,0.336467963,0.452158273,0.788626236,0.194604317,0.304975509,1.135098438,0.23553719,0.406417112,0.358045697,0.088934147,0.169042769,0.072966507,0.102564102,0.332072375,62.30716733,855.2098509,4.638214359,100.9799078,2.30693869,2.6000003,6.099999882,0.41656634,0.32530701,0.25812666,0.16060679,0.42619793,0.41319528,7.027614935
2022,PIT,2340,5331,5912,1186,778,221,29,158,591,555,476,14,1497,54,32,19,96,89,32,0.222472331,5912,0.222472331,111,14,0.080514208,0.253213802,0.317969271,0.29119294,0.363721628,0.654914568,0.141249297,0.277238403,1.219020172,0.196451865,0.441429689,0.362118445,0.100864553,0.113832853,0.065602836,0.274509803,0.288710436,-98.87729747,577.1389271,4.404200492,82.06792916,-0.265721568,4.500000134,2.500000022,0.40499485,0.35041195,0.2445932,0.16992791,0.53475798,0.29531411,6.988255743
2021,STL,2384,5351,6001,1303,822,261,22,198,706,678,478,32,1341,86,44,40,99,89,22,0.243505886,6001,0.243505886,117,10,0.079653391,0.223462756,0.35645041,0.313307601,0.411511866,0.724819467,0.16800598,0.28656639,1.041480536,0.205414803,0.405365126,0.389220069,0.098276962,0.126356094,0.071691176,0.149253731,0.311967471,-18.19730874,708.2584828,4.461498961,95.22809258,3.940795911,5.499999851,2.299999967,0.42047398,0.34253604,0.23698998,0.16027364,0.51698021,0.32274615,6.722496539
2024,SFG,2414,5460,6062,1303,830,266,30,177,693,661,492,15,1452,52,47,10,115,68,22,0.238644688,6062,0.238644688,124,19,0.081161332,0.239524909,0.338842975,0.305238803,0.395604395,0.700843198,0.156959707,0.290355853,1.01115933,0.193836978,0.405318091,0.40084493,0.106633601,0.109733415,0.076026977,0.463414634,0.305193225,-24.28707617,684.8339941,4.358415825,97.06321355,-6.0359428,6.500000589,-0.600000106,0.41599016,0.34858549,0.23542435,0.16236162,0.52595326,0.31168512,6.666172534
2022,CHC,2388,5425,6072,1293,838,265,31,159,657,620,507,16,1448,84,36,19,130,111,37,0.238341013,6072,0.238341013,133,15,0.083498023,0.238471673,0.350138121,0.311302048,0.386543778,0.697845826,0.148202765,0.29423975,1.325108853,0.197595792,0.457300275,0.345103931,0.103047895,0.115384615,0.072836801,0.384615384,0.306944885,-13.78684725,680.5248096,4.936175205,99.64540969,1.655829194,0.399999961,-3.800000027,0.41195437,0.34002976,0.24801587,0.17113095,0.53472222,0.29414683,6.453243207
2017,KCR,2342,5536,6027,1436,959,260,24,193,702,660,390,19,1166,45,37,17,160,91,31,0.259393063,6027,0.259393063,111,15,0.06470881,0.19346275,0.334476843,0.311418109,0.419617052,0.731035161,0.160223989,0.29496915,1.126013724,0.222805017,0.411630558,0.365564424,0.107922645,0.120399251,0.061495844,0.384615384,0.312251887,-44.86072161,689.6529786,4.296520729,90.90005526,1.603097436,9.200000264,-8.300000049,0.39104882,0.34538879,0.26356239,0.19778481,0.49819168,0.30402351,6.403434382
2016,MIN,2290,5618,6245,1409,886,288,35,200,722,690,513,24,1426,44,43,27,96,91,32,0.250800996,6245,0.250800996,103,20,0.082145716,0.228342674,0.359747545,0.316178835,0.421324314,0.737503149,0.170523318,0.299628252,1.16437459,0.208762269,0.425664352,0.365573378,0.091028159,0.130975769,0.057930258,0.238095238,0.316970623,-6.544545116,729.1444951,4.698814166,95.20512139,1.904599224,-1.39999976,7.300000131,0.41549296,0.33450704,0.25,0.18474178,0.50446009,0.31079812,6.389606885
2020,CHC,908,1918,2214,422,258,82,8,74,265,248,229,9,568,52,13,1,42,24,10,0.220020855,2214,0.220020855,48,5,0.1034327,0.256549232,0.403169014,0.317811934,0.386861313,0.704673247,0.166840458,0.269976726,1.341935483,0.196309963,0.460516605,0.343173431,0.107526881,0.159139784,0.076923076,0.555555555,0.308557996,-20.74105172,257.0325983,4.318357799,91.91578693,-1.228380625,6.999999963,-1.100000039,0.42302053,0.36217009,0.21480938,0.16055718,0.49340176,0.34604106,6.364054383
2017,SDP,2342,5356,5954,1251,804,227,31,189,604,576,460,20,1499,53,33,52,99,89,33,0.233569828,5954,0.233569828,132,25,0.077258985,0.25176352,0.306871247,0.298881735,0.393390589,0.692272324,0.159820761,0.286949473,1.134668508,0.19358205,0.428645969,0.37777198,0.133287292,0.130524861,0.080340839,0.231481481,0.297530458,-121.4938337,604.1233176,4.540364149,81.8487836,0.554622734,1.499999806,4.600000098,0.40954073,0.33823903,0.25222025,0.22684598,0.47348389,0.29967013,6.301985841
2023,CHC,2328,5504,6220,1399,904,269,30,196,819,786,570,11,1391,77,52,15,95,140,34,0.254178779,6220,0.254178779,147,2,0.091639871,0.22363344,0.409777138,0.329840399,0.420784883,0.750625282,0.166606104,0.303099017,1.178289473,0.20312876,0.431046931,0.365824308,0.095394736,0.128947368,0.082077051,0.08,0.325769667,37.71771245,795.5885116,5.267852138,106.4269263,1.783456558,3.500000097,9.500000142,0.4007177,0.36100478,0.23827751,0.16315789,0.53014354,0.30669856,6.209646751
2023,KCR,2369,5428,5985,1325,861,258,43,163,676,651,411,12,1396,71,58,14,96,163,47,0.244104642,5985,0.244104642,109,15,0.068671679,0.233249791,0.294412607,0.302781501,0.397568165,0.700349666,0.153463523,0.295900178,1.050922978,0.207964601,0.40585054,0.386184857,0.097390197,0.103755569,0.066020593,0.416666666,0.302903782,-76.93102789,652.306389,5.81168223,86.25967037,2.506812904,-0.499999903,3.100000106,0.42178363,0.33260234,0.24561404,0.15107212,0.50877193,0.34015595,6.138685152
2023,ATL,2278,5597,6249,1543,920,293,23,307,947,916,538,20,1289,67,43,2,128,132,27,0.275683401,6249,0.275683401,113,4,0.086093775,0.206273003,0.417377812,0.343955164,0.500804002,0.844759166,0.225120601,0.305637982,1.174563591,0.197422917,0.43350207,0.369075011,0.072942643,0.191396508,0.059978768,0.571428571,0.359328062,213.0061401,974.4104204,5.078845623,125.31869,3.407682164,12.30000027,-4.299999893,0.43027797,0.33586033,0.2338617,0.13416035,0.48242591,0.38341374,6.039912867
2023,DET,2422,5478,6080,1292,853,245,29,165,661,635,508,10,1473,49,31,13,107,85,23,0.2358525,6080,0.2358525,104,6,0.083552631,0.242269736,0.344874405,0.304813715,0.381526104,0.686339819,0.145673604,0.29113924,1.110026041,0.195182518,0.423392103,0.381425378,0.100260416,0.107421875,0.060997067,0.272727272,0.299840171,-93.66041127,647.1522027,4.501751227,89.77493395,-3.494967822,6.100000389,1.300000101,0.39812299,0.35317362,0.24870338,0.15386515,0.5183996,0.32773524,5.96806012
2021,MIA,2436,5348,5928,1244,837,226,23,158,623,594,450,25,1553,65,30,30,95,106,29,0.232610321,5928,0.232610321,119,10,0.075910931,0.261977058,0.289761751,0.298489733,0.37210172,0.670591453,0.139491399,0.296154895,1.329240214,0.200474183,0.456269757,0.343256059,0.110514198,0.121258633,0.068706697,0.166666666,0.291475802,-115.9751909,601.643528,4.745691148,79.54603684,4.497941595,-3.800000057,-0.29999996,0.37914938,0.34828838,0.27256224,0.18360996,0.51556017,0.30082988,5.940860471
2019,SEA,2347,5500,6199,1305,784,254,28,239,758,730,588,7,1581,58,37,14,83,115,47,0.237272727,6199,0.237272727,109,5,0.094854008,0.255041135,0.371916508,0.315542616,0.424,0.739542616,0.186727273,0.286790422,1.045992115,0.208237986,0.404780066,0.386981947,0.097240473,0.157030223,0.068467336,0.135135135,0.314109779,-31.49105076,748.4524172,4.678643656,98.86174416,-0.55862634,6.799999937,7.200000033,0.39496222,0.33803526,0.26700252,0.19596977,0.47758186,0.32644836,5.7626152
2024,CHC,2364,5441,6116,1318,866,253,29,170,736,696,546,19,1362,70,41,17,89,143,30,0.242234883,6116,0.242234883,129,14,0.089274035,0.222694571,0.400881057,0.317153164,0.393126263,0.710279427,0.15089138,0.290632911,1.028887523,0.194091796,0.408691406,0.397216796,0.09956976,0.104486785,0.077060931,0.341463414,0.310752245,2.304142062,717.7420282,5.265184911,101.2989349,4.903194226,-3.399999991,4.700000033,0.39811458,0.34977036,0.25211506,0.16727097,0.53662074,0.29610829,5.761800736
2019,ARI,2418,5633,6315,1419,871,288,40,220,813,778,540,36,1360,70,40,31,120,88,14,0.251908396,6315,0.251908396,116,13,0.085510688,0.215360253,0.397058823,0.322934903,0.434404402,0.757339305,0.182496006,0.292939164,1.222736285,0.212780898,0.433052434,0.354166666,0.103106411,0.145406477,0.062702702,0.183098591,0.3191835,-8.229735761,786.3085769,5.119792387,93.37309474,8.357762714,11.40000017,-1.499999985,0.41008519,0.36380382,0.22611098,0.16647479,0.43771586,0.39580935,5.705350952
2023,CLE,2372,5513,6096,1379,932,294,29,124,662,622,471,40,1142,55,44,13,108,151,36,0.250136042,6096,0.250136042,135,12,0.077263779,0.187335958,0.412434325,0.313167844,0.381461998,0.694629842,0.131325956,0.292472617,1.269078947,0.213275547,0.440009124,0.346715328,0.111842105,0.081578947,0.069984447,0.272727272,0.301515704,-84.25034827,658.5117726,5.142434114,91.13439252,4.079325587,1.900000103,2.099999838,0.38392051,0.35907859,0.2570009,0.1700542,0.56368564,0.26626016,5.574170011
2017,ATL,2374,5584,6216,1467,987,289,26,165,732,706,474,57,1184,66,32,59,137,77,31,0.262714899,6216,0.262714899,119,18,0.076254826,0.19047619,0.400337837,0.326023391,0.412428366,0.738451757,0.149713467,0.305132411,1.46082621,0.212086659,0.4677309,0.32018244,0.071937321,0.117521367,0.058020477,0.171428571,0.315638026,-34.78978528,722.7574456,4.334950102,88.60374541,-1.437547644,9.100000039,-3.399999842,0.37995546,0.35100223,0.26904232,0.18864143,0.51202673,0.29933185,5.449043433
2024,MIL,2381,5472,6170,1359,900,249,33,177,777,742,597,19,1459,46,34,15,97,217,42,0.248355263,6170,0.248355263,147,24,0.096758508,0.236466774,0.409184372,0.325581395,0.402960526,0.728541921,0.154605263,0.305426356,1.26286509,0.185685685,0.454454454,0.359859859,0.094575799,0.123087621,0.080947136,0.363636363,0.318530383,41.79537153,763.5500735,5.962600402,103.7413931,14.36167978,3.700000063,-0.500000224,0.3882324,0.36582964,0.24593796,0.16642048,0.51821763,0.31536189,5.36127266
2019,LAD,2413,5493,6281,1414,813,302,20,279,886,861,607,47,1356,81,45,55,100,57,10,0.257418532,6281,0.257418532,115,7,0.096640662,0.215889189,0.447640117,0.337616447,0.472055343,0.80967179,0.214636811,0.290801947,1.07284345,0.220004808,0.403702813,0.376292377,0.086900958,0.17827476,0.06849315,0.089743589,0.338397085,94.00383735,884.2643507,4.229643639,109.7548506,3.879283814,2.800000206,5.200000122,0.4132641,0.34175124,0.24498466,0.15765872,0.41892849,0.42341279,5.318449479
