Name,Team,Name,Team,Season,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,IFH,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,WAR,Spd,wRC+,BsR,Def,wSB,UBR,Off,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,xBA,xSLG,xwOBA,XBR,O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),NameASCII,PlayerId,MLBAMID
"A.J. Minter","ATL","A.J. Minter","ATL",2021,27,61,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2601495652733109,-0.13909377598145223,-0.26787378334381795,-0.011369749458109313,0.14285714,-100,0,0.12093835324048996,0,,-0.26787378334381795,,,,,,,,,,0,,,0,,0,,,0,,0,0,0,,,,0.8,24.5,"A.J. Minter",18655,621345
"Aaron Ashby","MIL","Aaron Ashby","MIL",2021,23,14,2,4,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0.25,0.5,0.5,0.333333333,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0.23057218392690024,-0.2775167449403531,0.20670641222708158,-0.3025813623357541,0.03128087390287624,0.14285714,40.57968651937423,-0.003422521287575364,0.48375341296195984,-0.003422521287575364,,-0.3060038836233295,,0,0,1,0,1,0,,,0,0,,0,0,1,0,0,0.231,,0,0.5,0.33333333,,0.4,0.4,0.66666667,16.90909091,"Aaron Ashby",23550,676879
"Aaron Civale","CLE","Aaron Civale","CLE",2021,26,21,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0.34585827589035034,0.05201200656804603,0.2941235851517634,0.05434697382363838,0.03623078827484004,0.14285714,122.19439516045219,-0.003422521287575364,0.24187670648097992,-0.003422521287575364,,0.050924452536063015,,,,,,,,,,0,,,0,,0,,,0.346,,0,0.16666667,0.1,,1,1,0.6,13.25,"Aaron Civale",19479,650644
"Aaron Hicks","NYY","Aaron Hicks","NYY",2021,31,32,108,126,21,14,3,0,4,13,14,14,0,30,2,2,0,3,0,0,0.194444444,2,0,0.111111111,0.238095238,0.466666666,0.293650793,0.333333333,0.626984126,0.138888889,0.22368421,0.777777777,0.2,0.35,0.45,0.166666666,0.111111111,0.071428571,0,0.27925146950615776,-3.666979343873981,11.586050106900213,-3.5267303895778688,0.05968800361874296,1.332373265,77.13876655875539,-0.33884438080713153,0.1445603370666504,-0.10267563862726092,-0.10000000149011612,-3.8655747703850003,0,0.425,0.3875,0.1875,0.2125,0.4875,0.3,89.25604858398438,19.103297424316406,8,0.1,109.559,31,0.3875,80,0.24,0.421,0.333,-0.2361687421798706,0.17842324,0.6037037,0.40313112,0.46511628,0.80981595,0.73786408,0.52837573,25.04986877,"Aaron Hicks",5297,543305
"Aaron Judge","NYY","Aaron Judge","NYY",2021,29,148,550,633,158,95,24,0,39,89,98,75,2,158,3,5,0,16,6,1,0.287272727,10,0,0.118483412,0.249605055,0.474683544,0.372827804,0.543636363,0.916464167,0.256363636,0.332402234,1.163120567,0.231738035,0.413098236,0.355163727,0.035460992,0.276595744,0.060975609,0,0.38704453784199033,38.032295348534426,114.66060997028096,38.73687938083156,5.472517568699661,2.896148537316562,149.9826024255484,0.16720906388945878,-6.013209104537964,0.1954256717581302,-0.4000000134110451,38.90408844472102,0.10000000149011612,0.3627204,0.37027708,0.26700252,0.08564232,0.44584383,0.46851385,95.82280099936548,11.568825348984772,70,0.17632242,119.035,230,0.57934509,397,0.308,0.594,0.418,-0.028216607868671417,0.22648336,0.64508393,0.4253703,0.46964856,0.83271375,0.73125,0.47512343,24.07005076,"Aaron Judge",15640,592450
"Aaron Nola","PHI","Aaron Nola","PHI",2021,28,33,49,63,7,5,2,0,0,5,4,6,0,29,0,1,7,0,0,0,0.142857142,0,0,0.095238095,0.46031746,0.206896551,0.232142857,0.183673469,0.415816326,0.040816327,0.333333333,3.666666666,0.222222222,0.611111111,0.166666666,0,0,0,0,0.1969440888081278,-6.123747180874946,1.5027675445121504,-6.5418002341944,0.2648208015433928,1.92170329,18.433939968588888,-0.5500348310451955,7.619116306304932,-0.037647734163329005,,-7.091835065239596,,0.14285714,0.32142857,0.53571429,0.14285714,0.71428571,0.14285714,85.84528266059027,-4.011238945855035,0,0,100.788,3,0.10714286,28,0.103,0.133,0.179,-0.5123870968818665,0.07407407,0.40689655,0.26482213,0.375,0.89830508,0.8358209,0.57312253,21.76190476,"Aaron Nola",16149,605400
"Aaron Sanchez","SFG","Aaron Sanchez","SFG",2021,28,9,10,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,2,0,0.666666666,0.333333333,0,0,0,0,0,-2.6014956527331092,-1.3909377598145223,-2.6151939921953895,-0.1073256207373194,0.14285714,-100,0,1.209383487701416,0,,-2.6151939921953895,,0,0.66666667,0.33333333,0.33333333,0.66666667,0,72.532958984375,-7.715307871500651,0,0,80.5175,0,0,3,0.053,0.061,0.052,,0.41666667,0.80769231,0.68421053,0,0.71428571,0.57692308,0.68421053,19.21428571,"Aaron Sanchez",11490,592717
"Abraham Almonte","ATL","Abraham Almonte","ATL",2021,32,64,148,175,32,15,12,0,5,20,19,26,0,38,0,1,0,2,1,1,0.216216216,3,0,0.148571428,0.217142857,0.684210526,0.331428571,0.398648648,0.730077219,0.182432432,0.254716981,1.333333333,0.18018018,0.468468468,0.351351351,0.102564102,0.128205128,0.057692307,0,0.3205874943733215,0.8920645463992497,22.07682767247452,-0.45967361593948397,-0.14162547215153784,2.2522521561327995,97.93669094320954,-2.0015180280897766,-4.822441458702087,-0.35964657575823367,-1.5,-2.4611916440292605,0.5,0.45045045,0.30630631,0.24324324,0.10810811,0.5045045,0.38738739,89.25861150568181,10.455143599076704,8,0.07207207,109.799,46,0.41441441,111,0.228,0.358,0.317,-1.641871452331543,0.23119777,0.60794045,0.43044619,0.59036145,0.86122449,0.79268293,0.52887139,24.12027491,"Abraham Almonte",5486,501659
"Abraham Toro","SEA","Abraham Toro","SEA",2021,24,60,226,253,57,41,11,0,5,28,26,22,0,33,4,1,0,4,3,2,0.252212389,15,0,0.086956521,0.130434782,0.666666666,0.328063241,0.367256637,0.695319878,0.115044248,0.275132275,0.929411764,0.154639175,0.407216494,0.438144329,0.058823529,0.058823529,0.189873417,0,0.30765797239047266,-1.4168232354096895,29.210291455430553,-0.46665850754303984,0.1974492778769394,3.005531287111811,98.49347407390104,-1.7613060257863253,-4.469731152057648,-0.46795532922260463,-0.699999988079071,-2.227964533329365,0.30000001192092896,0.32474227,0.40721649,0.26804124,0.17010309,0.53092784,0.29896907,87.213623046875,13.811505635579428,16,0.08247423,107.096,68,0.35051546,194,,,,-1.2933506965637207,0.30677291,0.63483146,0.47586873,0.72077922,0.90560472,0.84787018,0.51544402,22.99097938,"Abraham Toro",19844,647351
"Abraham Toro","HOU","Abraham Toro","HOU",2021,24,35,109,122,23,16,1,0,6,17,20,9,0,21,3,1,0,1,3,1,0.211009174,3,0,0.073770491,0.172131147,0.428571428,0.286885245,0.3853211,0.672206345,0.174311926,0.204819277,1.026315789,0.13483146,0.438202247,0.426966292,0.105263157,0.157894736,0.076923076,0,0.29292532508490515,-2.1703265401452487,12.59847975346151,-2.210062200102181,0.2449834815660918,4.776013629915004,85.20405837057828,-0.3403415596112609,0.8142807483673096,0.08484620694071054,0.40000003576278687,-2.5504037597134417,0.30000001192092896,0.37078652,0.33707865,0.29213483,0.17977528,0.51685393,0.30337079,85.92246203476124,13.453432233146067,5,0.05617978,108.994,27,0.30337079,89,,,,-0.42518776655197144,0.33333333,0.62,0.48712446,0.70833333,0.87741935,0.82378855,0.53648069,22.22058824,"Abraham Toro",19844,647351
