Season,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PA.1,AVG.1,IFH,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Spd,wRC+,wSB,UBR,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,XBR
2023,BAL,2441,5495,6123,1399,879,309,28,183,807,780,512,14,1370,45,47,21,114,114,24,0.254595086,6123,0.254595086,114,7,0.08361914,0.223746529,0.373722627,0.320708312,0.420928116,0.741636428,0.16633303,0.304838305,1.111111111,0.195960567,0.423178648,0.380860783,0.106691919,0.115530303,0.064772727,0.205882352,0.320456804,10.23182125,756.283735,5.209358046,105.4369687,1.713441501,12.40000034,-0.800000012,0.40472216,0.34700692,0.24827093,0.15549726,0.51991414,0.3245886,14.42492083
2023,CIN,2492,5499,6195,1371,868,268,37,198,783,747,556,8,1500,92,29,19,101,190,48,0.249318057,6195,0.249318057,116,20,0.089749798,0.24213075,0.370666666,0.326910621,0.419530823,0.746441444,0.170212766,0.306266318,1.117014122,0.211817726,0.41587381,0.372308462,0.113651647,0.133154001,0.069837447,0.37735849,0.324639447,31.98866476,786.8133594,5.760691608,96.62940895,6.120928058,5.20000007,1.399999931,0.42723005,0.34247591,0.23029404,0.15492958,0.53768223,0.30738819,11.38153083
2023,ARI,2406,5436,6124,1359,875,274,44,166,746,706,540,11,1247,58,50,36,121,166,26,0.25,6124,0.25,111,18,0.088177661,0.203625081,0.433039294,0.321663379,0.408204562,0.729867941,0.158204562,0.292904493,1.272173324,0.202281911,0.446636558,0.35108153,0.09817197,0.112389979,0.059073975,0.264705882,0.316970377,-7.31975529,738.8540026,6.014004722,96.3650971,10.96108062,0.399999678,-2.49999997,0.40397661,0.3548538,0.24116959,0.14947368,0.51883041,0.33169591,7.973667199
2023,CHC,2328,5504,6220,1399,904,269,30,196,819,786,570,11,1391,77,52,15,95,140,34,0.254178779,6220,0.254178779,147,2,0.091639871,0.22363344,0.409777138,0.329840399,0.420784883,0.750625282,0.166606104,0.303099017,1.178289473,0.20312876,0.431046931,0.365824308,0.095394736,0.128947368,0.082077051,0.08,0.325769667,37.71771245,795.5885116,5.267852138,106.4269263,1.783456558,3.500000097,9.500000142,0.4007177,0.36100478,0.23827751,0.16315789,0.53014354,0.30669856,6.209646751
2023,KCR,2369,5428,5985,1325,861,258,43,163,676,651,411,12,1396,71,58,14,96,163,47,0.244104642,5985,0.244104642,109,15,0.068671679,0.233249791,0.294412607,0.302781501,0.397568165,0.700349666,0.153463523,0.295900178,1.050922978,0.207964601,0.40585054,0.386184857,0.097390197,0.103755569,0.066020593,0.416666666,0.302903782,-76.93102789,652.306389,5.81168223,86.25967037,2.506812904,-0.499999903,3.100000106,0.42178363,0.33260234,0.24561404,0.15107212,0.50877193,0.34015595,6.138685152
2023,ATL,2278,5597,6249,1543,920,293,23,307,947,916,538,20,1289,67,43,2,128,132,27,0.275683401,6249,0.275683401,113,4,0.086093775,0.206273003,0.417377812,0.343955164,0.500804002,0.844759166,0.225120601,0.305637982,1.174563591,0.197422917,0.43350207,0.369075011,0.072942643,0.191396508,0.059978768,0.571428571,0.359328062,213.0061401,974.4104204,5.078845623,125.31869,3.407682164,12.30000027,-4.299999893,0.43027797,0.33586033,0.2338617,0.13416035,0.48242591,0.38341374,6.039912867
2023,DET,2422,5478,6080,1292,853,245,29,165,661,635,508,10,1473,49,31,13,107,85,23,0.2358525,6080,0.2358525,104,6,0.083552631,0.242269736,0.344874405,0.304813715,0.381526104,0.686339819,0.145673604,0.29113924,1.110026041,0.195182518,0.423392103,0.381425378,0.100260416,0.107421875,0.060997067,0.272727272,0.299840171,-93.66041127,647.1522027,4.501751227,89.77493395,-3.494967822,6.100000389,1.300000101,0.39812299,0.35317362,0.24870338,0.15386515,0.5183996,0.32773524,5.96806012
2023,CLE,2372,5513,6096,1379,932,294,29,124,662,622,471,40,1142,55,44,13,108,151,36,0.250136042,6096,0.250136042,135,12,0.077263779,0.187335958,0.412434325,0.313167844,0.381461998,0.694629842,0.131325956,0.292472617,1.269078947,0.213275547,0.440009124,0.346715328,0.111842105,0.081578947,0.069984447,0.272727272,0.301515704,-84.25034827,658.5117726,5.142434114,91.13439252,4.079325587,1.900000103,2.099999838,0.38392051,0.35907859,0.2570009,0.1700542,0.56368564,0.26626016,5.574170011
2023,PHI,2323,5541,6207,1417,877,291,29,220,796,771,539,22,1481,69,42,13,110,141,26,0.255730012,6207,0.255730012,116,15,0.086837441,0.238601578,0.363943281,0.327087707,0.437827107,0.764914814,0.182097095,0.308346213,1.118577075,0.210022107,0.417096536,0.372881355,0.092226613,0.144927536,0.068315665,0.34090909,0.329420255,57.2921026,813.5789274,5.268055612,105.8288006,5.953375427,-4.200000092,0.900000036,0.40850547,0.34021871,0.25127582,0.14046173,0.53147023,0.32806804,4.421064759
2023,TBR,2353,5511,6164,1432,896,282,24,230,860,827,514,7,1420,95,38,6,109,160,41,0.259843948,6164,0.259843948,132,17,0.08338741,0.230369889,0.36197183,0.331438778,0.444928325,0.776367103,0.185084377,0.308284175,1.16087516,0.18276953,0.439036261,0.378194207,0.106821106,0.148005148,0.073170731,0.653846153,0.335210797,85.99787984,837.0454049,5.513998365,117.10435,3.152525508,8.599999242,2.999999896,0.41934704,0.34800484,0.23264813,0.14873035,0.51438936,0.33688029,3.586749781
2023,MIL,2358,5386,6084,1290,852,257,16,165,728,696,591,15,1412,58,39,7,144,129,28,0.23950984,6084,0.23950984,119,9,0.097140039,0.232084155,0.41855524,0.319229502,0.385072409,0.704301911,0.145562569,0.292359667,1.234890109,0.1865,0.4495,0.364,0.109203296,0.113324175,0.066184649,0.45,0.308680294,-48.86157413,692.4384166,4.849949119,92.11399311,2.532001461,6.0,-8.100000069,0.39676617,0.36119403,0.2420398,0.17338308,0.50422886,0.32238806,3.569945089
2023,SDP,2329,5401,6180,1316,824,273,14,205,752,719,653,16,1311,57,44,22,134,137,32,0.243658581,6180,0.243658581,137,14,0.10566343,0.212135922,0.498093058,0.329163281,0.413256804,0.742420085,0.169598223,0.282769152,1.094221105,0.187423836,0.424567389,0.388008774,0.112437185,0.128768844,0.078645235,0.264150943,0.323217668,24.8692445,777.8662765,4.503102849,105.928069,2.197125356,6.100000046,-2.800000049,0.41385948,0.3539461,0.23219442,0.16506256,0.51275265,0.32218479,3.360273656
2023,PIT,2412,5406,6089,1293,816,287,31,159,692,662,556,9,1464,58,43,25,92,117,41,0.23917869,6089,0.23917869,130,12,0.091312202,0.240433568,0.37978142,0.31453076,0.391971883,0.706502643,0.152793193,0.296393099,1.196641007,0.20491388,0.433130699,0.36195542,0.094471658,0.11126662,0.076023391,0.193548387,0.30841802,-51.45517876,690.4540328,5.026912604,89.54884842,-4.854180101,-0.300000101,6.399999954,0.41421446,0.34189526,0.24389027,0.15486284,0.5319202,0.31321696,2.725503568
2023,LAD,2421,5524,6333,1422,850,303,20,249,906,877,644,29,1359,85,69,5,98,105,25,0.257422157,6333,0.257422157,105,5,0.101689562,0.214590241,0.473877851,0.34024043,0.454742939,0.794983369,0.197320782,0.294353826,0.920871559,0.207100591,0.380118343,0.412781065,0.089449541,0.142775229,0.065379825,0.357142857,0.341189222,120.4436916,892.0828831,4.789937358,116.0321534,-1.494892393,1.799999572,5.800000049,0.42085397,0.33592828,0.24321774,0.14861996,0.50648738,0.34489266,1.823717939
2023,MIA,2420,5497,6043,1423,976,258,23,166,666,633,430,23,1287,50,38,22,159,86,21,0.258868473,6043,0.258868473,138,16,0.07115671,0.212973688,0.334110334,0.316375727,0.404766236,0.721141963,0.145897763,0.307937285,1.373765867,0.202180611,0.461720786,0.336098601,0.082510578,0.11706629,0.070841889,0.31372549,0.312173347,-31.11270835,705.191671,4.236270036,92.17875208,-2.705080812,-0.100000001,-12.69999994,0.37166276,0.35690867,0.27142857,0.14847775,0.52224824,0.329274,-1.74952697
2023,LAA,2314,5489,6145,1346,841,248,26,231,739,708,518,27,1524,79,46,8,117,72,31,0.245217708,6145,0.245217708,104,9,0.084296175,0.248006509,0.339895013,0.316862361,0.426124977,0.742987338,0.180907269,0.294973544,1.044851547,0.188925081,0.414432473,0.396642445,0.093493367,0.145925457,0.062877871,0.321428571,0.319974692,10.22915563,758.9616413,4.242674986,101.0657215,-9.556348566,2.900000118,-1.300000034,0.41701916,0.33764618,0.24533466,0.14655387,0.5247574,0.32868873,-1.93637517
2023,MIN,2427,5489,6219,1336,815,264,24,233,778,745,594,13,1654,92,32,12,119,86,18,0.243395882,6219,0.243395882,92,13,0.095513748,0.265959157,0.359129383,0.325761237,0.427582437,0.753343674,0.184186555,0.303522289,1.015221707,0.207444039,0.399271212,0.393284747,0.097948378,0.154202514,0.059973924,0.351351351,0.32666121,42.73939101,800.488346,4.668617622,107.8399735,-1.862628482,0.700000048,0.200000256,0.41763341,0.34158288,0.24078371,0.15828822,0.50141789,0.34029389,-3.353871288
2023,STL,2298,5510,6204,1376,891,264,12,209,719,697,570,17,1326,70,37,13,122,101,29,0.249727767,6204,0.249727767,104,11,0.091876208,0.213733075,0.429864253,0.325844512,0.415789473,0.741633985,0.166061706,0.290877367,1.159717767,0.198714897,0.430271299,0.371013802,0.109044259,0.134060295,0.057522123,0.34375,0.32220911,19.72396462,775.6452569,4.037087121,103.0568647,-3.705820127,-2.499999978,-0.199999973,0.40245631,0.34199339,0.25555031,0.16131318,0.49244214,0.34624469,-3.454002446
2023,SFG,2441,5412,6095,1271,828,256,13,174,674,651,544,19,1492,81,39,17,116,57,16,0.234848484,6095,0.234848484,85,24,0.089253486,0.244790812,0.36461126,0.312047399,0.383407243,0.695454642,0.148558759,0.289828269,1.088058705,0.201326869,0.416177596,0.382495534,0.104069379,0.116077384,0.052115266,0.421052631,0.304178075,-71.55426867,671.086008,3.638178346,91.4885151,-6.402395806,4.700000085,2.300000086,0.42354125,0.33199195,0.2444668,0.15847821,0.52632905,0.31519274,-3.631308025
2023,TOR,2403,5562,6220,1423,924,292,19,188,746,705,550,14,1303,69,32,4,129,99,34,0.255843221,6220,0.255843221,117,20,0.088424437,0.20948553,0.422102839,0.3286657,0.41657677,0.74524247,0.160733549,0.300999268,1.109725685,0.205447288,0.417938483,0.376614228,0.105361596,0.117206982,0.065730337,0.571428571,0.323974664,28.77676866,786.6475678,4.31600575,106.6369537,-6.331787204,-4.399999641,-1.699999928,0.3993945,0.3388449,0.2617606,0.1583605,0.52002795,0.32161155,-4.091878235
2023,TEX,2302,5595,6306,1470,893,326,18,233,881,845,599,17,1416,53,47,10,103,79,19,0.262734584,6306,0.262734584,112,6,0.094988899,0.224548049,0.423022598,0.337146488,0.452368185,0.789514673,0.189633601,0.309792136,0.989298454,0.206544937,0.394593312,0.39886175,0.082045184,0.138525564,0.067307692,0.315789473,0.339693985,111.8331427,880.1825414,4.467331613,116.2532086,-3.992911492,-11.50000061,5.900000036,0.39778093,0.35764873,0.24457035,0.13846881,0.49480151,0.36672968,-4.406736736
